2025-11-03 01:25:05.006 DEBUG 50559 --- [main] c.b.m.core.MybatisConfiguration          : addMappedStatement: com.cn.taihe.back.category.mapper.CategoryMapper.selectList
2025-11-03 01:25:05.009 DEBUG 50559 --- [main] c.b.m.core.MybatisConfiguration          : addMappedStatement: com.cn.taihe.back.category.mapper.CategoryMapper.selectPage
2025-11-03 01:25:05.010 DEBUG 50559 --- [main] c.b.m.e.s.MybatisSqlSessionFactoryBean   : Parsed mapper file: 'file [/Users/yangyang/Desktop/pro/taihe/taihe_java/aifengshui/backcentral/target/classes/mapper/CategoryMapper.xml]'
2025-11-03 01:25:05.022 DEBUG 50559 --- [main] c.b.m.core.MybatisConfiguration          : addMappedStatement: com.cn.taihe.back.suppliers.mapper.ChangeLogMapper.selectChangeLogsByCondition
2025-11-03 01:25:05.022 DEBUG 50559 --- [main] c.b.m.core.MybatisConfiguration          : addMappedStatement: com.cn.taihe.back.suppliers.mapper.ChangeLogMapper.selectChangeLogsByMapCondition
2025-11-03 01:25:05.023 DEBUG 50559 --- [main] c.b.m.core.MybatisConfiguration          : addMappedStatement: com.cn.taihe.back.suppliers.mapper.ChangeLogMapper.batchInsertChangeLogs
2025-11-03 01:25:05.024 DEBUG 50559 --- [main] c.b.m.core.MybatisConfiguration          : addMappedStatement: com.cn.taihe.back.suppliers.mapper.ChangeLogMapper.batchDeleteBySupplierIds
2025-11-03 01:25:05.024 DEBUG 50559 --- [main] c.b.m.core.MybatisConfiguration          : addMappedStatement: com.cn.taihe.back.suppliers.mapper.ChangeLogMapper.selectRecentChangeLogs
2025-11-03 01:25:05.030 DEBUG 50559 --- [main] c.b.m.core.MybatisConfiguration          : addMappedStatement: com.cn.taihe.back.suppliers.mapper.ChangeLogMapper.insert
2025-11-03 01:25:05.033 DEBUG 50559 --- [main] c.b.m.core.MybatisConfiguration          : addMappedStatement: com.cn.taihe.back.suppliers.mapper.ChangeLogMapper.delete
